=== unit_ms_family.py : the unit condition by modular symbols ===
sage version      : SageMath version 10.7, Release Date: 2025-08-09
curve             : E : y^2 = x^3 - -34x   [0,0,0,34,0]
conductor         : 73984
CM discriminant   : -4
root number       : 1
modular symbol at 0 : 0   (L(E,1)/Omega up to a unit)
normalisation     : MTT / Stein-Wuthrich, real Neron period (Sage padic_lseries)
series            : n = 2, T-adic precision 3; c_2 certified to the printed O(p^k)
prime range       : split 5 <= p < 1000 of good reduction

# p     a_p     n  v_p(c2)  c2 mod p  prec(c2)  c0        c1        seconds
5       -2      2  0        1         1         0         0         0.8
13      -4      2  0        11        1         0         0         0.0
29      -10     2  0        25        1         0         0         0.0
37      2       2  0        8         1         0         0         0.0
41      8       2  0        2         1         0         0         0.1
53      -4      2  0        27        1         0         0         0.1
61      10      2  0        9         1         0         0         0.1
73      -16     2  0        26        1         0         0         0.2
89      -10     2  0        73        1         0         0         0.2
97      -8      2  0        89        1         0         0         0.3
101     -20     2  0        53        1         0         0         0.3
109     6       2  0        34        1         0         0         0.3
113     -16     2  0        83        1         0         0         0.4
137     -22     2  0        7         1         0         0         0.6
149     20      2  0        120       1         0         0         0.6
157     -12     2  0        50        1         0         0         0.7
173     -26     2  0        28        1         0         0         0.9
181     18      2  0        127       1         0         0         1.0
193     -24     2  0        133       1         0         0         1.1
197     2       2  0        7         1         0         0         1.1
229     4       2  0        56        1         0         0         1.6
233     -16     2  0        4         1         0         0         1.6
241     -8      2  0        99        1         0         0         1.7
257     2       2  0        137       1         0         0         2.0
269     -26     2  0        36        1         0         0         2.2
277     -18     2  0        123       1         0         0         2.3
281     -10     2  0        234       1         0         0         2.4
293     4       2  0        208       1         0         0         2.6
313     -24     2  0        106       1         0         0         2.9
317     -22     2  0        298       1         0         0         3.0
337     -32     2  0        268       1         0         0         3.5
349     -36     2  0        255       1         0         0         3.7
353     34      2  0        144       1         0         0         3.8
373     -36     2  0        341       1         0         0         4.2
389     20      2  0        278       1         0         0         4.8
397     -38     2  0        138       1         0         0         5.0
401     40      2  0        70        1         0         0         5.0
409     6       2  0        333       1         0         0         5.3
421     28      2  0        215       1         0         0         6.6
433     -34     2  0        221       1         0         0         5.9
449     -40     2  0        395       1         0         0         6.3
457     -42     2  0        204       1         0         0         6.7
461     -20     2  0        308       1         0         0         6.8
509     -44     2  0        297       1         0         0         8.3
521     40      2  0        112       1         0         0         8.2
541     42      2  0        247       1         0         0         9.0
557     28      2  0        372       1         0         0         9.5
569     26      2  0        531       1         0         0         10.0
577     -2      2  0        529       1         0         0         10.2
593     46      2  0        518       1         0         0         11.7
601     -48     2  0        437       1         0         0         11.5
613     36      2  0        112       1         0         0         11.5
617     -32     2  0        277       1         0         0         12.3
641     8       2  0        384       1         0         0         12.6
653     -26     2  0        338       1         0         0         13.2
661     12      2  0        606       1         0         0         13.9
673     24      2  0        490       1         0         0         14.0
677     2       2  0        446       1         0         0         14.7
701     -52     2  0        688       1         0         0         16.1
709     30      2  0        120       1         0         0         17.8
733     -4      2  0        564       1         0         0         17.0
757     52      2  0        273       1         0         0         18.6
761     -38     2  0        598       1         0         0         20.0
769     50      2  0        550       1         0         0         19.7
773     -44     2  0        32        1         0         0         18.9
797     -52     2  0        326       1         0         0         19.8
809     56      2  0        547       1         0         0         20.7
821     50      2  0        166       1         0         0         21.3
829     20      2  0        388       1         0         0         21.5
853     46      2  0        555       1         0         0         29.5
857     -8      2  0        442       1         0         0         29.9
877     -58     2  0        28        1         0         0         32.8
881     32      2  0        455       1         0         0         30.7
929     -40     2  0        30        1         0         0         34.4
937     38      2  0        539       1         0         0         34.9
941     58      2  0        677       1         0         0         31.2
953     26      2  0        575       1         0         0         53.1
977     -62     2  0        184       1         0         0         53.0
997     -62     2  0        443       1         0         0         48.3

split primes below 1000 of good reduction : 79
split primes of bad reduction, omitted  : [17]
primes with c_2 a unit                  : 79
primes with v_p(c_2) > 0                : 0   []
c_0 = c_1 = 0 at every prime above      : True
total time                              : 858 s
UNITMSDONE
