=== unit_ms_family.py : the unit condition by modular symbols ===
sage version      : SageMath version 10.7, Release Date: 2025-08-09
curve             : E : y^2 = x^3 - 56x   [0,0,0,-56,0]
conductor         : 12544
CM discriminant   : -4
root number       : 1
modular symbol at 0 : 0   (L(E,1)/Omega up to a unit)
normalisation     : MTT / Stein-Wuthrich, real Neron period (Sage padic_lseries)
series            : n = 2, T-adic precision 3; c_2 certified to the printed O(p^k)
prime range       : split 5 <= p < 1000 of good reduction

# p     a_p     n  v_p(c2)  c2 mod p  prec(c2)  c0        c1        seconds
5       -2      2  0        1         1         0         0         0.8
13      -6      2  0        1         1         0         0         0.0
17      -8      2  0        16        1         0         0         0.0
29      4       2  0        6         1         0         0         0.0
37      -12     2  0        27        1         0         0         0.1
41      -8      2  0        22        1         0         0         0.1
53      -4      2  0        48        1         0         0         0.1
61      -10     2  0        17        1         0         0         0.1
73      -16     2  0        1         1         0         0         0.2
89      -16     2  0        62        1         0         0         0.2
97      8       2  0        82        1         0         0         0.3
101     -2      2  0        75        1         0         0         0.3
109     20      2  0        77        1         0         0         0.4
113     -14     2  0        39        1         0         0         0.4
137     -22     2  0        78        1         0         0         0.6
149     -20     2  0        66        1         0         0         0.7
157     -22     2  0        140       1         0         0         0.8
173     26      2  0        119       1         0         0         0.9
181     18      2  0        173       1         0         0         1.0
193     14      2  0        63        1         0         0         1.1
197     28      2  0        38        1         0         0         1.2
229     -30     2  0        199       1         0         0         1.6
233     -26     2  0        36        1         0         0         1.6
241     8       2  0        168       1         0         0         1.7
257     -32     2  0        249       1         0         0         2.0
269     26      2  0        247       1         0         0         2.2
277     28      2  0        243       1         0         0         2.3
281     -10     2  0        176       1         0         0         2.4
293     -34     2  0        270       1         0         0         2.6
313     24      2  0        258       1         0         0         2.9
317     28      2  0        195       1         0         0         3.0
337     -18     2  0        96        1         0         0         3.4
349     10      2  0        138       1         0         0         3.7
353     16      2  0        347       1         0         0         3.8
373     -36     2  0        302       1         0         0         4.2
389     20      2  0        215       1         0         0         4.6
397     -38     2  0        258       1         0         0         4.9
401     2       2  0        333       1         0         0         5.0
409     -40     2  0        386       1         0         0         5.2
421     28      2  0        207       1         0         0         5.9
433     -24     2  0        189       1         0         0         5.7
449     14      2  0        285       1         0         0         6.3
457     -42     2  0        75        1         0         0         7.4
461     -38     2  0        312       1         0         0         7.0
509     10      2  0        377       1         0         0         8.2
521     40      2  0        379       1         0         0         8.9
541     -20     2  0        530       1         0         0         9.6
557     28      2  0        215       1         0         0         9.6
569     26      2  0        92        1         0         0         10.1
577     -48     2  0        108       1         0         0         10.3
593     -16     2  0        447       1         0         0         10.9
601     -48     2  0        555       1         0         0         11.4
613     36      2  0        215       1         0         0         12.9
617     38      2  0        167       1         0         0         11.8
641     50      2  0        164       1         0         0         13.0
653     -44     2  0        198       1         0         0         13.5
661     -50     2  0        595       1         0         0         13.6
673     -46     2  0        416       1         0         0         14.6
677     2       2  0        195       1         0         0         14.4
701     52      2  0        237       1         0         0         15.8
709     -44     2  0        229       1         0         0         16.3
733     54      2  0        401       1         0         0         19.2
757     52      2  0        390       1         0         0         18.3
761     40      2  0        54        1         0         0         19.1
769     24      2  0        616       1         0         0         20.7
773     -34     2  0        657       1         0         0         19.9
797     -22     2  0        225       1         0         0         20.1
809     -10     2  0        73        1         0         0         20.9
821     28      2  0        754       1         0         0         21.4
829     54      2  0        519       1         0         0         21.9
853     -46     2  0        701       1         0         0         24.8
857     -8      2  0        673       1         0         0         30.1
877     -12     2  0        202       1         0         0         31.6
881     32      2  0        240       1         0         0         32.0
929     -40     2  0        421       1         0         0         33.9
937     48      2  0        64        1         0         0         35.2
941     -58     2  0        678       1         0         0         34.3
953     -26     2  0        101       1         0         0         42.5
977     -62     2  0        967       1         0         0         55.4
997     62      2  0        916       1         0         0         53.9

split primes below 1000 of good reduction : 80
primes with c_2 a unit                  : 80
primes with v_p(c_2) > 0                : 0   []
c_0 = c_1 = 0 at every prime above      : True
total time                              : 858 s
UNITMSDONE
